date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:34	117/117	---M-Z	200	added ('OK')	text/plain	date:Mon,%2012%20Jan%202026%2012:25:31%20GMT	https://infiniteresources.org/robots.txt		(from )
17:55:35	438828/438828	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Jan%202026%2012:25:31%20GMT	https://infiniteresources.org/	C:/My%20Web%20Sites/infinite/infiniteresources.org/index.html	(from )
17:55:36	51534/51534	---M-Z	200	added ('OK')	text/css	etag:%22334045d-c94e-6462258daaad8-gzip%22	https://infiniteresources.org/wp-content/plugins/formidable/css/formidableforms.css?ver=1217919	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/formidable/css/formidableforms39b3.css	(from https://infiniteresources.org/)
17:55:36	54773/54773	---M-Z	200	added ('OK')	text/css	etag:%2237e000d-d5f5-6482c6b694fa1-gzip%22	https://infiniteresources.org/wp-content/uploads/elementor/css/custom-frontend.min.css?ver=1768205478	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/uploads/elementor/css/custom-frontend.min6859.css	(from https://infiniteresources.org/)
17:55:36	19068/19068	---M-Z	200	added ('OK')	text/css	etag:%2237e0001-4a7c-6482c6b68f5c8-gzip%22	https://infiniteresources.org/wp-content/uploads/elementor/css/post-7903.css?ver=1768205478	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/uploads/elementor/css/post-79036859.css	(from https://infiniteresources.org/)
17:55:36	1092/1092	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ebf682bc898e18404986490c30d43ab9-gzip%22	https://infiniteresources.org/feed/	C:/My%20Web%20Sites/infinite/infiniteresources.org/feed/index.html	(from https://infiniteresources.org/)
17:55:36	9130/9130	---M-Z	200	added ('OK')	text/css	etag:%223820647-23aa-5e54534174e40-gzip%22	https://infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/dripicons/assets/css/dripicons.min.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/dripicons/assets/css/dripicons.min32d4.css	(from https://infiniteresources.org/)
17:55:37	22518/22518	---M-Z	200	added ('OK')	text/css	etag:%22382061f-57f6-5e54533f8c9c0-gzip%22	https://infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/elegant-icons/assets/css/elegant-icons.min.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/elegant-icons/assets/css/elegant-icons.min32d4.css	(from https://infiniteresources.org/)
17:55:37	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%223820626-e7d0-5e54533f8c9c0-gzip%22	https://infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/font-awesome/assets/css/all.min.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/font-awesome/assets/css/all.min32d4.css	(from https://infiniteresources.org/)
17:55:37	27340/27340	---M-Z	200	added ('OK')	text/css	etag:%2238205ff-6acc-5e54533bbc0c0-gzip%22	https://infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/fontkiko/assets/css/kiko-all.min.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/fontkiko/assets/css/kiko-all.min32d4.css	(from https://infiniteresources.org/)
17:55:37	751/751	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ebf682bc898e18404986490c30d43ab9-gzip%22	https://infiniteresources.org/comments/feed/	C:/My%20Web%20Sites/infinite/infiniteresources.org/comments/feed/index.html	(from https://infiniteresources.org/)
17:55:37	45219/45219	---M-Z	200	added ('OK')	text/css	etag:%22382068c-b0a3-5e5453435d2c0-gzip%22	https://infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/ionicons/assets/css/ionicons.min.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/ionicons/assets/css/ionicons.min32d4.css	(from https://infiniteresources.org/)
17:55:38	42983/42983	---M-Z	200	added ('OK')	text/css	etag:%22382067c-a7e7-5e5453435d2c0-gzip%22	https://infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/linea-icons/assets/css/linea-icons.min.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/linea-icons/assets/css/linea-icons.min32d4.css	(from https://infiniteresources.org/)
17:55:38	7231/7231	---M-Z	200	added ('OK')	text/css	etag:%223820698-1c3f-5e5453435d2c0-gzip%22	https://infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/linear-icons/assets/css/linear-icons.min.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/linear-icons/assets/css/linear-icons.min32d4.css	(from https://infiniteresources.org/)
17:55:38	10943/10943	---M-Z	200	added ('OK')	text/css	etag:%2238205fa-2abf-5e54533bbc0c0-gzip%22	https://infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/simple-line-icons/assets/css/simple-line-icons.min.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/globefarer-core/inc/icons/simple-line-icons/assets/css/simple-line-icons.min32d4.css	(from https://infiniteresources.org/)
17:55:38	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%223360d33-e7d0-647d860cef8ff-gzip%22	https://infiniteresources.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min32d4.css	(from https://infiniteresources.org/)
17:55:38	677/677	---M-Z	200	added ('OK')	text/css	etag:%223360d3b-2a5-647d860cf4b07-gzip%22	https://infiniteresources.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min32d4.css	(from https://infiniteresources.org/)
17:55:39	435/435	---M-Z	200	added ('OK')	text/css	etag:%223321322-1b3-646460d9e8e64-gzip%22	https://infiniteresources.org/wp-content/plugins/themesflat-addons-for-elementor/assets/css/tf-header-footer.css?ver=6.8.3	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/themesflat-addons-for-elementor/assets/css/tf-header-footer32d4.css	(from https://infiniteresources.org/)
17:55:39	44907/44907	---M-Z	200	added ('OK')	text/css	etag:%223320300-af6b-63fc05b6c5d9d-gzip%22	https://infiniteresources.org/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min.css?ver=1.9.5	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.minbb23.css	(from https://infiniteresources.org/)
17:55:39	31211/31211	---M-Z	200	added ('OK')	text/css	etag:%223320302-79eb-63fc05b6c6185-gzip%22	https://infiniteresources.org/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min.css?ver=1.9.5	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.minbb23.css	(from https://infiniteresources.org/)
17:55:39	277962/277962	---M-Z	200	added ('OK')	text/css	etag:%223320304-43dca-63fc05b6c78f5-gzip%22	https://infiniteresources.org/wp-content/plugins/qi-addons-for-elementor/assets/css/main.min.css?ver=1.9.5	C:/My%20Web%20Sites/infinite/infiniteresources.org/wp-content/plugins/qi-addons-for-elementor/assets/css/main.minbb23.css	(from https://infiniteresources.org/)
